,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2022-11-12,2022-11-12,2459895.7077355124,2459895.689495967,2459895.671097465,2459896.134064108,2459896.152320449,2459896.1707386854
2022-11-13,2022-11-13,2459896.707605256,2459896.689342864,2459896.670917942,2459897.134375993,2459897.152655626,2459897.1710990183
2022-11-14,2022-11-14,2459897.7074898523,2459897.689204529,2459897.670753184,2459898.1346929395,2459898.1529959105,2459898.171465718
2022-11-15,2022-11-15,2459898.7073893477,2459898.6890810416,2459898.670603307,2459899.135014892,2459899.153341207,2459899.1718375506
2022-11-16,2022-11-16,2459899.70730377,2459899.688972465,2459899.6704684137,2459900.1353417793,2459900.1536914045,2459900.172214192
2022-11-17,2022-11-17,2459900.7072331323,2459900.688878849,2459900.6703485916,2459901.1356735104,2459901.1540463734,2459901.172595471
2022-11-18,2022-11-18,2459901.707177431,2459901.688800224,2459901.670243911,2459902.1360099763,2459902.1544059636,2459902.172981196
2022-11-19,2022-11-19,2459902.7071366417,2459902.688736603,2459902.6701544244,2459903.1363510475,2459903.1547700055,2459903.173371155
2022-11-20,2022-11-20,2459903.707110722,2459903.6886879797,2459903.6700801654,2459904.1366965743,2459904.155138309,2459904.173765114
2022-11-21,2022-11-21,2459904.707099606,2459904.688654326,2459904.6700211456,2459905.1370463828,2459905.1555106603,2459905.1741628167
2022-11-22,2022-11-22,2459905.707103201,2459905.6886355868,2459905.6699773506,2459906.1374002756,2459906.15588682,2459906.1745639816
2022-11-23,2022-11-23,2459906.7071213922,2459906.6886316836,2459906.6699487427,2459907.137758564,2459907.156266526,2459907.1749683022
2022-11-24,2022-11-24,2459907.707154037,2459907.688642512,2459907.6699352567,2459908.1381210526,2459908.1566494894,2459908.17537545
2022-11-25,2022-11-25,2459908.7072009696,2459908.6886679446,2459908.669936806,2459909.138486911,2459909.1570354053,2459909.1757850745
2022-11-26,2022-11-26,2459909.70726201,2459909.688707838,2459909.6699532866,2459910.138855856,2459910.157423951,2459910.1761968136
2022-11-27,2022-11-27,2459910.707336967,2459910.688762039,2459910.669984586,2459911.139227597,2459911.1578151784,2459911.1766103003
2022-11-28,2022-11-28,2459911.707425647,2459911.688830391,2459911.670030587,2459912.1396018453,2459912.1582095474,2459912.1770251687
2022-11-29,2022-11-29,2459912.7075278573,2459912.688912737,2459912.6700911713,2459913.139978315,2459913.158605593,2459913.1774410587
2022-11-30,2022-11-30,2459913.7076434037,2459913.6890089205,2459913.67016622,2459914.1403567297,2459914.1590030007,2459914.177857647
2022-12-01,2022-12-01,2459914.7077720948,2459914.689118783,2459914.6702556135,2459915.1407368155,2459915.159401463,2459915.1782766017
2022-12-02,2022-12-02,2459915.707913734,2459915.6892421646,2459915.670359227,2459916.1411183034,2459916.159800674,2459916.1786955595
2022-12-03,2022-12-03,2459916.7080680765,2459916.689378899,2459916.6704769298,2459917.141500926,2459917.1602003346,2459917.179114186
2022-12-04,2022-12-04,2459917.7082344596,2459917.689528817,2459917.6706085866,2459918.1418844145,2459918.160600143,2459918.1795321456
2022-12-05,2022-12-05,2459918.7084131297,2459918.6896917378,2459918.6707540504,2459919.142268496,2459919.160999796,2459919.179949102
2022-12-06,2022-12-06,2459919.7086038697,2459919.689867475,2459919.6709131673,2459920.142652892,2459920.1613989854,2459920.180364717
2022-12-07,2022-12-07,2459920.7088064533,2459920.6900558323,2459920.6710857707,2459921.143037317,2459921.1617973973,2459921.180778647
2022-12-08,2022-12-08,2459921.7090206454,2459921.690256602,2459921.671271683,2459922.1434214762,2459922.1621947107,2459922.181190542
2022-12-09,2022-12-09,2459922.7092461996,2459922.690469565,2459922.6714707147,2459923.143805065,2459923.162590595,2459923.1816000454
2022-12-10,2022-12-10,2459923.709482858,2459923.690694489,2459923.671682662,2459924.144187768,2459924.1629847107,2459924.182006793
2022-12-11,2022-12-11,2459924.7097303527,2459924.690931131,2459924.6719073057,2459925.1445702026,2459925.163376711,2459925.182410414
2022-12-12,2022-12-12,2459925.7099884036,2459925.691179234,2459925.672144416,2459926.144951452,2459926.163766238,2459926.182810529
2022-12-13,2022-12-13,2459926.7102567167,2459926.691438526,2459926.6723937425,2459927.145330797,2459927.1641529268,2459927.183206754
2022-12-14,2022-12-14,2459927.710534986,2459927.6917087208,2459927.672655023,2459928.1457078787,2459928.164536861,2459928.1835986967
2022-12-15,2022-12-15,2459928.7108228947,2459928.69198952,2459928.672927978,2459929.146082331,2459929.1649183645,2459929.1839859607
2022-12-16,2022-12-16,2459929.7111201114,2459929.69228061,2459929.673212312,2459930.1464537764,2459930.1652958635,2459930.184368145
2022-12-17,2022-12-17,2459930.711426294,2459930.692581663,2459930.6735077137,2459931.146821828,2459931.165668959,2459931.184745805
2022-12-18,2022-12-18,2459931.7117410833,2459931.692892333,2459931.6738138525,2459932.14718609,2459932.166037243,2459932.185118563
2022-12-19,2022-12-19,2459932.712064107,2459932.6932122586,2459932.6741303783,2459933.147546154,2459933.1664003013,2459933.185484954
2022-12-20,2022-12-20,2459933.712394974,2459933.6935410583,2459933.67445692,2459934.147901601,2459934.166757709,2459934.185844547
2022-12-21,2022-12-21,2459934.712733275,2459934.693878329,2459934.674791502,2459935.1482519982,2459935.1671090284,2459935.1861969014
2022-12-22,2022-12-22,2459935.713078577,2459935.694223642,2459935.6751350057,2459936.148596896,2459936.167453809,2459936.186541566
2022-12-23,2022-12-23,2459936.713430428,2459936.694576548,2459936.6754872,2459937.1489358316,2459937.1677915906,2459937.1868780823
2022-12-24,2022-12-24,2459937.7137883627,2459937.6949352655,2459937.675847621,2459938.149268338,2459938.168121908,2459938.187205989
2022-12-25,2022-12-25,2459938.7141519105,2459938.6953003653,2459938.6762157995,2459939.149593948,2459939.168444299,2459939.1875248305
2022-12-26,2022-12-26,2459939.7145206057,2459939.6956716133,2459939.676591264,2459940.1499122065,2459940.168758318,2459940.1878341683
2022-12-27,2022-12-27,2459940.714893546,2459940.696048552,2459940.6769735515,2459941.1502226777,2459941.1690635374,2459941.1881335876
2022-12-28,2022-12-28,2459941.715269871,2459941.6964307376,2459941.6773622097,2459942.150524949,2459942.169359558,2459942.1884227013
2022-12-29,2022-12-29,2459942.715650012,2459942.696817741,2459942.677756799,2459943.1508186357,2459943.1696460075,2459943.1887011533
2022-12-30,2022-12-30,2459943.716033569,2459943.6972091496,2459943.6781568937,2459944.151103709,2459944.1699225414,2459944.188968617
2022-12-31,2022-12-31,2459944.7164201587,2459944.6976045645,2459944.678562079,2459945.1513801035,2459945.1701888377,2459945.1892247894
2023-01-01,2023-01-01,2459945.716809409,2459945.6980035966,2459945.678971948,2459946.151646842,2459946.1704445914,2459946.189469389
2023-01-02,2023-01-02,2459946.7172009614,2459946.698405868,2459946.679386103,2459947.1519036144,2459947.170689517,2459947.1897021523
2023-01-03,2023-01-03,2459947.7175944676,2459947.698811009,2459947.6798041523,2459948.152150127,2459948.170923344,2459948.1899228347
